basin,time,precip
Konya Kapalı Havzası,2011-04-01,2.417960618432829
Konya Kapalı Havzası,2011-05-01,2.1751371295787583
Konya Kapalı Havzası,2011-06-01,1.431180250151302
Konya Kapalı Havzası,2011-07-01,0.11614699459328372
Konya Kapalı Havzası,2011-08-01,0.1170984576384774
Konya Kapalı Havzası,2011-09-01,0.30437631709904345
Konya Kapalı Havzası,2011-10-01,0.8671388981153815
Konya Kapalı Havzası,2011-11-01,0.7591311880120675
Konya Kapalı Havzası,2011-12-01,1.4843524434846038
Konya Kapalı Havzası,2012-01-01,3.472856033275081
Konya Kapalı Havzası,2012-02-01,2.352257918448254
Konya Kapalı Havzası,2012-03-01,1.4593974667778673
Konya Kapalı Havzası,2012-04-01,0.8016577946552995
Konya Kapalı Havzası,2012-05-01,1.9290581120876682
Konya Kapalı Havzası,2012-06-01,0.36821402321450714
Konya Kapalı Havzası,2012-07-01,0.168391237040132
Konya Kapalı Havzası,2012-08-01,0.17606206268569596
Konya Kapalı Havzası,2012-09-01,0.0737552038796588
Konya Kapalı Havzası,2012-10-01,1.0919467168946255
Konya Kapalı Havzası,2012-11-01,1.8850016602765076
Konya Kapalı Havzası,2012-12-01,2.8829376233234165
Konya Kapalı Havzası,2013-01-01,1.7758952132778207
Konya Kapalı Havzası,2013-02-01,1.5133918188006892
Konya Kapalı Havzası,2013-03-01,1.1042482383891037
Konya Kapalı Havzası,2013-04-01,1.9739562735309575
Konya Kapalı Havzası,2013-05-01,1.0477690146888834
Konya Kapalı Havzası,2013-06-01,0.3737538332244046
Konya Kapalı Havzası,2013-07-01,0.09582283574867742
Konya Kapalı Havzası,2013-08-01,0.08293076002835499
Konya Kapalı Havzası,2013-09-01,0.3097326528644075
Konya Kapalı Havzası,2013-10-01,0.9641522092371141
Konya Kapalı Havzası,2013-11-01,0.8685051630090085
Konya Kapalı Havzası,2013-12-01,0.7616844251169919
Konya Kapalı Havzası,2014-01-01,1.7739431600738338
Konya Kapalı Havzası,2014-02-01,0.6571468783089218
Konya Kapalı Havzası,2014-03-01,1.850630497101704
Konya Kapalı Havzası,2014-04-01,0.8045587470711996
Konya Kapalı Havzası,2014-05-01,1.6261418181627811
Konya Kapalı Havzası,2014-06-01,1.9042432806852647
Konya Kapalı Havzası,2014-07-01,0.18545080443406964
Konya Kapalı Havzası,2014-08-01,0.24071226067263782
Konya Kapalı Havzası,2014-09-01,1.517244338383353
Konya Kapalı Havzası,2014-10-01,0.975407239363392
Konya Kapalı Havzası,2014-11-01,1.9433275681929347
Konya Kapalı Havzası,2014-12-01,1.4403075535243113
Konya Kapalı Havzası,2015-01-01,1.7454498193140693
Konya Kapalı Havzası,2015-02-01,2.616934099385112
Konya Kapalı Havzası,2015-03-01,3.0473425727789514
Konya Kapalı Havzası,2015-04-01,1.3802743311893295
Konya Kapalı Havzası,2015-05-01,1.7149613796594898
Konya Kapalı Havzası,2015-06-01,2.654186073503597
Konya Kapalı Havzası,2015-07-01,0.1306541084189843
Konya Kapalı Havzası,2015-08-01,0.29666663894715134
Konya Kapalı Havzası,2015-09-01,0.31257736209810355
Konya Kapalı Havzası,2015-10-01,1.169792293431368
Konya Kapalı Havzası,2015-11-01,0.3324539330542266
Konya Kapalı Havzası,2015-12-01,0.18796030841785163
Konya Kapalı Havzası,2016-01-01,2.7973471907440426
Konya Kapalı Havzası,2016-02-01,1.1629571836319712
Konya Kapalı Havzası,2016-03-01,1.618784790476103
Konya Kapalı Havzası,2016-04-01,0.6800338906829293
Konya Kapalı Havzası,2016-05-01,2.6300213635987904
Konya Kapalı Havzası,2016-06-01,0.7810974722316062
Konya Kapalı Havzası,2016-07-01,0.14817949958400073
Konya Kapalı Havzası,2016-08-01,0.21044419686712937
Konya Kapalı Havzası,2016-09-01,0.7005440824490966
Konya Kapalı Havzası,2016-10-01,0.2641708915467134
Konya Kapalı Havzası,2016-11-01,0.8699579190234541
Konya Kapalı Havzası,2016-12-01,3.43139641091463
Konya Kapalı Havzası,2017-01-01,2.0064971748254816
Konya Kapalı Havzası,2017-02-01,0.286085604278931
Konya Kapalı Havzası,2017-03-01,2.3145290355271855
Konya Kapalı Havzası,2017-04-01,1.5432552778128488
Konya Kapalı Havzası,2017-05-01,2.043414132920991
Konya Kapalı Havzası,2017-06-01,1.167274118419076
Konya Kapalı Havzası,2017-07-01,0.06299181558545495
Konya Kapalı Havzası,2017-08-01,0.6822562373443743
Konya Kapalı Havzası,2017-09-01,0.14416262717923198
Konya Kapalı Havzası,2017-10-01,0.5466640457049695
Konya Kapalı Havzası,2017-11-01,1.5939258817464477
Konya Kapalı Havzası,2017-12-01,1.5955159605710565
Konya Kapalı Havzası,2018-01-01,2.2082060277769116
Konya Kapalı Havzası,2018-02-01,1.1196673961485537
Konya Kapalı Havzası,2018-03-01,1.9211707599874928
Konya Kapalı Havzası,2018-04-01,0.6349313847273077
Konya Kapalı Havzası,2018-05-01,2.2265811602648973
Konya Kapalı Havzası,2018-06-01,1.3471303013366256
Konya Kapalı Havzası,2018-07-01,0.14574525280159256
Konya Kapalı Havzası,2018-08-01,0.11916957234456026
Konya Kapalı Havzası,2018-09-01,0.30402989970188676
Konya Kapalı Havzası,2018-10-01,1.304599450649651
Konya Kapalı Havzası,2018-11-01,1.1926716417147787
Konya Kapalı Havzası,2018-12-01,3.3055298844135135
Konya Kapalı Havzası,2019-01-01,3.1764692420850755
Konya Kapalı Havzası,2019-02-01,2.027421012367855
Konya Kapalı Havzası,2019-03-01,1.1733159244588325
Konya Kapalı Havzası,2019-04-01,1.8739901277726485
Konya Kapalı Havzası,2019-05-01,0.8394594010154184
Konya Kapalı Havzası,2019-06-01,2.4094007111323443
Konya Kapalı Havzası,2019-07-01,0.4533237195850894
Konya Kapalı Havzası,2019-08-01,0.44400012076496365
Konya Kapalı Havzası,2019-09-01,0.3505508601735424
Konya Kapalı Havzası,2019-10-01,0.4012729854439721
Konya Kapalı Havzası,2019-11-01,0.747450763974325
